"","Title","Year.gschol","source.gschol","Abstract.gschol","Year.pubmed","source.pubmed","Year.webos","source.webos","Abstract.webos"
"324","Comparison of novel methods in two-way enriched clinical trial design",NA,NA,NA,2019,"PubMed",NA,NA,NA
"325","Comparison of outcomes between symptomatic and asymptomatic patients with colorectal cancer: a propensity score-matched analysis of surgical invasiveness, medical costs and oncological outcomes",NA,NA,NA,2017,"PubMed",NA,NA,NA
"326","Comparison of Postoperative Adjuvant CTACE vs DEB-TACE Combined with Tislelizumab and Lenvatinib in BCLC Stage B/C Hepatocellular Carcinoma: A Propensity Score-Matched Analysis of Survival Outcomes",NA,NA,NA,2026,"PubMed",2026,"Web of Science","Purpose: This single-center, retrospective study aimed to compare the efficacy and safety of two adjuvant triple-therapy regimens-conventional transarterial chemoembolization (CTACE) versus drug-eluting bead TACE (DEB-TACE), each combined with tislelizumab and lenvatinib-in patients with BCLC stage B/C hepatocellular carcinoma (HCC) following curative resection. Methods: Using propensity score matching to minimize selection bias, we analyzed data from 211 eligible patients treated between March 2021 and June 2024. Key endpoints included overall survival (OS), progression-free survival (PFS), and adverse events (AEs). Results: After matching, the DEB-TACE-based regimen (DEB-TACE-T-L) was associated with significantly longer OS and PFS compared to the CTACE-based regimen (CTACE-T-L). In an exploratory subgroup analysis of 49 patients with microvascular invasion (MVI), those receiving DEB-TACE-T-L showed a promising trend toward improved survival outcomes; however, this finding should be interpreted as hypothesis-generating due to the limited sample size and lack of a statistically significant interaction between treatment type and MVI status. The safety profile was comparable between the two groups. Conclusion: Our preliminary results suggest that adjuvant DEB-TACE-T-L may offer a survival benefit over CTACE-T-L in resected BCLC B/C HCC, with acceptable toxicity. The potential enhanced effect in MVI-positive patients observed here warrants further validation in larger, prospective studies."
"327","Comparison of postpolypectomy bleeding events between cold snare polypectomy and hot snare polypectomy for small colorectal lesions: a large-scale propensity score-matched analysis",NA,NA,NA,NA,NA,2022,"Web of Science","Background and Aims: Cold snare polypectomy (CSP), a safe procedure for removing colon polyps, has a low prevalence of postpolypectomy bleeding (PPB). Previous studies have failed to demonstrate differences in PPB rates between CSP and hot snare polypectomy (HSP), possibly because of their small sample sizes. This study analyzed PPB rates after CSP and HSP. Methods: This was a retrospective analysis of colorectal lesions (diameter <10 mm) treated using endoscopic resection at our institution between January 2015 and December 2019. Resections were performed using CSP or HSP, depending on the endoscopist's preference. Endoscopic and histologic findings were recorded in the endoscopic database at our institution. Propensity score (PS) matching was performed to match patient age, lesion size, macroscopic features, location of the lesions, clipping after resection, and antithrombotic agent use. The CSP and HSP groups were compared to determine the adverse event (PPB) rates. Results: The CSP and HSP groups included 12,928 and 2408 lesions (total of 5371 patients), respectively. Univariate analysis revealed that the overall prevalence of PPB after HSP was higher than that after CSP (odds ratio [OR], 5.39; 95% confidence interval [CI], 2.50-11.60). After PS matching (2135 lesions per group), the prevalence of PPB after HSP remained higher than that after CSP (OR, 6.0; 95% CI, 1.34-26.8). Conclusions: For colorectal lesions <10 mm in diameter, the risk of PPB after CSP is significantly lower than that after HSP, after PS matching. CSP for lesions <10 mm could be safely performed compared with HSP."
"328","Comparison of privacy-protecting analytic and data-sharing methods: A simulation study",NA,NA,NA,NA,NA,2018,"Web of Science","PurposePrivacy-protecting analytic and data-sharing methods that minimize the disclosure risk of sensitive information are increasingly important due to the growing interest in utilizing data across multiple sources. We conducted a simulation study to examine how avoiding sharing individual-level data in a distributed data network can affect analytic results. MethodsThe base scenario had four sites of varying sizes with 5% outcome incidence, 50% treatment prevalence, and seven confounders. We varied treatment prevalence, outcome incidence, treatment effect, site size, number of sites, and covariate distribution. Confounding adjustment was conducted using propensity score or disease risk score. We compared analyses of three types of aggregate-level data requested from sites: risk-set, summary-table, or effect-estimate data (meta-analysis) with benchmark results of analysis of pooled individual-level data. We assessed bias and precision of hazard ratio estimates as well as the accuracy of standard error estimates. ResultsAll the aggregate-level data-sharing approaches, regardless of confounding adjustment methods, successfully approximated pooled individual-level data analysis in most simulation scenarios. Meta-analysis showed minor bias when using inverse probability of treatment weights (IPTW) in infrequent exposure (5%), rare outcome (0.01%), and small site (5,000 patients) settings. SE estimates became less accurate for IPTW risk-set approach with less frequent exposure and for propensity score-matching meta-analysis approach with rare outcomes. ConclusionsOverall, we found that we can avoid sharing individual-level data and obtain valid results in many settings, although care must be taken with meta-analysis approach in infrequent exposure and rare outcome scenarios, particularly when confounding adjustment is performed with IPTW."
"329","Comparison of Sample Size by Bootstrap and by Formulas Based on Normal Distribution Assumption",NA,NA,NA,NA,NA,2019,"Web of Science","Bootstrapping technique is distribution-independent, which provides an indirect way to estimate the sample size for a clinical trial based on a relatively smaller sample. In this paper, sample size estimation to compare two parallel-design arms for continuous data by bootstrap procedure are presented for various test types (inequality, non-inferiority, superiority, and equivalence), respectively. Meanwhile, sample size calculation by mathematical formulas (normal distribution assumption) for the identical data are also carried out. Consequently, power difference between the two calculation methods is acceptably small for all the test types. It shows that the bootstrap procedure is a credible technique for sample size estimation. After that, we compared the powers determined using the two methods based on data that violate the normal distribution assumption. To accommodate the feature of the data, the nonparametric statistical method of Wilcoxon test was applied to compare the two groups in the data during the process of bootstrap power estimation. As a result, the power estimated by normal distribution-based formula is far larger than that by bootstrap for each specific sample size per group. Hence, for this type of data, it is preferable that the bootstrap method be applied for sample size calculation at the beginning, and that the same statistical method as used in the subsequent statistical analysis is employed for each bootstrap sample during the course of bootstrap sample size estimation, provided there is historical true data available that can be well representative of the population to which the proposed trial is planning to extrapolate."
"330","Comparison of statistical approaches for analyzing incomplete longitudinal patient-reported outcome data in randomized controlled trials",NA,NA,NA,2018,"PubMed",NA,NA,NA
"331","Comparison of statistical methodologies used to estimate the treatment effect on time-to-event outcomes in observational studies",2021,"Google Scholar","… In the literature, propensity score (PS) was introduced for the … bias, MSE, coverage probability, and confidence interval … on our simulation results, for a dataset with a small sample size …",NA,NA,NA,NA,NA
"332","Comparison of the ability of double-robust estimators to correct bias in propensity score matching analysis. A Monte Carlo simulation study",NA,NA,NA,NA,NA,2017,"Web of Science","ObjectiveAs covariates are not always adequately balanced after propensity score matching and double- adjustment can be used to remove residual confounding, we compared the performance of several double-robust estimators in different scenarios. MethodsWe conducted a series of Monte Carlo simulations on virtual observational studies. After estimating the propensity scores by logistic regression, we performed 1:1 optimal, nearest-neighbor, and caliper matching. We used 4 estimators on each matched sample: (1) a crude estimator without double-adjustment, (2) double-adjustment for the propensity scores, (3) double-adjustment for the unweighted unbalanced covariates, and (4) double-adjustment for the unbalanced covariates, weighted by their strength of association with the outcome. ResultsThe crude estimator led to highest bias in all tested scenarios. Double-adjustment for the propensity scores effectively removed confounding only when the propensity score models were correctly specified. Double-adjustment for the unbalanced covariates was more robust to misspecification. Double-adjustment for the weighted unbalanced covariates outperformed the other approaches in every scenario and using any matching algorithm, as measured by the mean squared error. ConclusionDouble-adjustment can be used to remove residual confounding after propensity score matching. The unbalanced covariates with the strongest confounding effects should be adjusted."
"333","Comparison of the Oncologic Outcomes of Cryoablation, Laser Ablation, and Hyperthermia for Localized Prostate Cancer: A Population-Based Cohort Study Using the SEER Database",NA,NA,NA,2026,"PubMed",2026,"Web of Science","Large-scale comparisons of focal therapies for localized prostate cancer are lacking. This SEER-based study (2010-2019) compared cryoablation, laser ablation, and hyperthermia in 3298 patients using propensity score matching. Cryoablation and laser ablation showed comparable overall and cancer-specific survival. Hyperthermia outcomes were inconclusive due to heterogeneity and small sample size, highlighting the need for prospective validation. Objective: Ablative therapies, including cryoablation (CA), laser ablation (LA), and hyperthermia (HT), are increasingly used for localized prostate cancer, but large-scale comparative evidence on their long-term oncologic outcomes is scarce. This study aimed to compare cancer-specific survival (CSS) and overall survival (OS) among patients treated with these modalities. Methods: Using the Surveillance, Epidemiology, and End Results (SEER) database (2000-2019), we identified patients with localized prostate cancer treated with CA, LA, or HT between 2010 and 2019. Propensity score matching (PSM) at a 1:1 ratio was performed to balance baseline characteristics. OS and CSS were estimated using the Kaplan-Meier method, and competing risk analysis was performed to assess cancer-specific mortality (CSM) and other-cause mortality (OCM). Results: After PSM, 712 patients per group were compared between CA and LA. No significant difference was observed in CSS (Hazard Ratio [HR] = 1.58, 95% Confidence Interval [CI] 0.94-2.66; P = .083) or OS (HR = 1.09, 95% CI, 0.88-1.35; P = .481). The median follow-up was 64 months, with 18 and 23 cancerspecific deaths in the CA and LA groups, respectively. In comparisons involving HT ( n = 107 per group post-PSM), no statistically significant differences in survival were detected against CA or LA. However, these HT-related findings must be interpreted with extreme caution due to the significant heterogeneity of the HT category, the small sample size, and resulting low statistical power. Conclusion: In this large population-based study, CA and LA demonstrated comparable long-term oncologic outcomes for localized prostate cancer. While no survival differences were detected for HT, definitive conclusions cannot be drawn for this modality due to major methodological limitations. Further prospective, well-designed randomized controlled trials are essential to validate these findings and provide more robust evidence."
"334","Comparison of two propensity score-based methods for balancing covariates: the overlap weighting and fine stratification methods in real-world claims data",NA,NA,NA,NA,NA,2024,"Web of Science","Background Two propensity score (PS) based balancing covariate methods, the overlap weighting method (OW) and the fine stratification method (FS), produce superb covariate balance. OW has been compared with various weighting methods while FS has been compared with the traditional stratification method and various matching methods. However, no study has yet compared OW and FS. In addition, OW has not yet been evaluated in large claims data with low prevalence exposure and with low frequency outcomes, a context in which optimal use of balancing methods is critical. In the study, we aimed to compare OW and FS using real-world data and simulations with low prevalence exposure and with low frequency outcomes. Methods We used the Texas State Medicaid claims data on adult beneficiaries with diabetes in 2012 as an empirical example (N = 42,628). Based on its real-world research question, we estimated an average treatment effect of health center vs. non-health center attendance in the total population. We also performed simulations to evaluate their relative performance. To preserve associations between covariates, we used the plasmode approach to simulate outcomes and/or exposures with N = 4,000. We simulated both homogeneous and heterogeneous treatment effects with various outcome risks (1-30% or observed: 27.75%) and/or exposure prevalence (2.5-30% or observed:10.55%). We used a weighted generalized linear model to estimate the exposure effect and the cluster-robust standard error (SE) method to estimate its SE. Results In the empirical example, we found that OW had smaller standardized mean differences in all covariates (range: OW: 0.0-0.02 vs. FS: 0.22-3.26) and Mahalanobis balance distance (MB) (< 0.001 vs. > 0.049) than FS. In simulations, OW also achieved smaller MB (homogeneity: <0.04 vs. > 0.04; heterogeneity: 0.0-0.11 vs. 0.07-0.29), relative bias (homogeneity: 4.04-56.20 vs. 20-61.63; heterogeneity: 7.85-57.6 vs. 15.0-60.4), square root of mean squared error (homogeneity: 0.332-1.308 vs. 0.385-1.365; heterogeneity: 0.263-0.526 vs 0.313-0.620), and coverage probability (homogeneity: 0.0-80.4% vs. 0.0-69.8%; heterogeneity: 0.0-97.6% vs. 0.0-92.8%), than FS, in most cases. Conclusions These findings suggest that OW can yield nearly perfect covariate balance and therefore enhance the accuracy of average treatment effect estimation in the total population."
"335","Complier stochastic direct effects: identification and robust estimation",NA,NA,NA,2021,"PubMed",NA,NA,NA
"336","Conditional bias adjusted estimator of treatment effect in 2-in-1 adaptive design",NA,NA,NA,NA,NA,2025,"Web of Science","For implementation of adaptive design, the adjustment of bias in treatment effect estimation becomes an increasingly important topic in recent years. While adaptive design literature traditionally focuses on the control of type I error rate and the adjustment of overall unconditional bias, the research on adjusting conditional bias has been limited. This paper proposes a conditional bias adjustment estimator of treatment effect under the context of 2-in-1 adaptive design and aims to provide a comprehensive investigation on their statistical properties including bias, mean squared error and coverage probability of confidence intervals. It demonstrated that conditional bias adjusted estimators greatly reduce the conditional bias and have similarly negligible unconditional bias compared with mean and median (unconditional) unbiased estimators. In addition, the test statistics is constructed based on the conditional bias adjustment estimators and compared with the naive unadjusted test."
"337","Conditioning on the propensity score can result in biased estimation of common measures of treatment effect: A Monte Carlo study",NA,NA,NA,NA,NA,2007,"Web of Science","Propensity score methods are increasingly being used to estimate causal treatment effects in the medical literature. Conditioning on the propensity score results in unbiased estimation of the expected difference in observed responses to two treatments. The degree to which conditioning on the propensity score introduces bias into the estimation of the conditional odds ratio or conditional hazard ratio, which are frequently used as measures of treatment effect in observational studies, has not been extensively studied. We conducted Monte Carlo simulations to determine the degree to which propensity score matching, stratification on the quintiles of the propensity score, and covariate adjustment using the propensity score result in biased estimation of conditional odds ratios, hazard ratios, and rate ratios. We found that conditioning on the propensity score resulted in biased estimation of the true conditional odds ratio and the true conditional hazard ratio. In all scenarios examined, treatment effects were biased towards the null treatment effect. However, conditioning on the propensity score did not result in biased estimation of the true conditional rate ratio. In contrast, conventional regression methods allowed unbiased estimation of the true conditional treatment effect when all variables associated with the outcome were included in the regression model. The observed bias in propensity score methods is due to the fact that regression models allow one to estimate conditional treatment effects, whereas propensity score methods allow one to estimate marginal treatment effects. In several settings with non-linear treatment effects, marginal and conditional treatment effects do not coincide. Copyright (c) 2006 John Wiley & Sons, Ltd."
"338","Conditions for uniformly non-confounding of causal distribution effects over multiple covariates",NA,NA,NA,NA,NA,2010,"Web of Science","Causation is a distinct concept from association and more important than association in epidemiologic studies. This paper proposes the concept of uniform non-confounding for causal distribution effects over multiple covariates, and gives the sufficient conditions for uniform non-confounding over a covariate set C including confounders or non-confounders, and also shows the conditions for conditionally non-confounding in the subpopulations. All these conditions can be tested by observed data."
"339","Confidence intervals based on robust regression",NA,NA,NA,NA,NA,2003,"Web of Science","In this paper, we consider constructing reliable confidence intervals for regression parameters using robust M-estimation allowing for the possibility of time series correlation among the errors. The change of variance function is used to approximate the theoretical coverage for confidence intervals based on uncorrelated errors. Bootstrap techniques for dependent data and weighted empirical adaptive variance estimators are used to construct three variance estimates. A simulation study is conducted to investigate the performance of those variance estimates for small and large sample sizes. In particular, the simulated empirical coverages are examined for various models of correlated errors. Our procedures show improvement over intervals based on independence but do illustrate the need for caution in carrying out inference in linear models for moderate sample sizes if correlation among the errors is suspected. (C) 2002 Elsevier Science B.V. All rights reserved."
"340","Confidence intervals for intentionally biased estimators",NA,NA,NA,NA,NA,2024,"Web of Science","We propose and study three confidence intervals (CIs) centered at an estimator that is intentionally biased to reduce mean squared error. The first CI simply uses an unbiased estimator's standard error; compared to centering at the unbiased estimator, this CI has higher coverage probability for confidence levels above 91. 7%, even if the biased and unbiased estimators have equal mean squared error. The second CI trades some of this excess coverage for shorter length. The third CI is centered at a convex combination of the two estimators to further reduce length. Practically, these CIs apply broadly and are simple to compute."
"341","Confounder-adjusted estimates of the risk difference using propensity score-based weighting",NA,NA,NA,2010,"PubMed",NA,NA,NA
"342","Confounder Selection and Sensitivity Analyses to Unmeasured Confounding from Epidemiological and Statistical Perspectives",NA,NA,NA,NA,NA,2025,"Web of Science","In observational studies, identifying and adjusting for a sufficient set of confounders is crucial for accurately estimating the causal effect of the exposure on the outcome. Even in studies with large sample sizes, which typically benefit from small variances in estimates, there is a risk of producing estimates that are precisely inaccurate if the study suffers from systematic errors or biases, including confounding bias. To date, several approaches have been developed for selecting confounders. In this article, we first summarize the epidemiological and statistical approaches to identify a sufficient set of confounders. Particularly, we introduce the modified disjunctive cause criterion as one of the most useful approaches, which involves controlling for any pre-exposure covariate that affects the exposure, outcome, or both. It then excludes instrumental variables but includes proxies for the shared common cause of exposure and outcome. Statistical confounder selection is also useful when dealing with a large number of covariates, even in studies with small sample sizes. After introducing several approaches, we discuss some pitfalls and considerations in confounder selection, such as the adjustment for instrumental variables, intermediate variables, and baseline outcome variables. Lastly, as it is often difficult to comprehensively measure key confounders, we introduce two statistics, E-value and Robustness value, , for assessing sensitivity to unmeasured confounders. Illustrated examples are provided using the National Health and Nutritional Examination Survey Epidemiologic Follow-up Study. Integrating these principles and approaches will enhance our understanding of confounder selection and facilitate better reporting and interpretation of future epidemiological studies."
"343","Confounder selection strategies targeting stable treatment effect estimators",NA,NA,NA,2021,"PubMed",2021,"Web of Science","Inferring the causal effect of a treatment on an outcome in an observational study requires adjusting for observed baseline confounders to avoid bias. However, adjusting for all observed baseline covariates, when only a subset are confounders of the effect of interest, is known to yield potentially inefficient and unstable estimators of the treatment effect. Furthermore, it raises the risk of finite-sample bias and bias due to model misspecification. For these stated reasons, confounder (or covariate) selection is commonly used to determine a subset of the available covariates that is sufficient for confounding adjustment. In this article, we propose a confounder selection strategy that focuses on stable estimation of the treatment effect. In particular, when the propensity score (PS) model already includes covariates that are sufficient to adjust for confounding, then the addition of covariates that are associated with either treatment or outcome alone, but not both, should not systematically change the effect estimator. The proposal, therefore, entails first prioritizing covariates for inclusion in the PS model, then using a change-in-estimate approach to select the smallest adjustment set that yields a stable effect estimate. The ability of the proposal to correctly select confounders, and to ensure valid inference of the treatment effect following data-driven covariate selection, is assessed empirically and compared with existing methods using simulation studies. We demonstrate the procedure using three different publicly available datasets commonly used for causal inference."
"344","Confounder Selection via Penalized Credible Regions",NA,NA,NA,NA,NA,2014,"Web of Science","When estimating the effect of an exposure or treatment on an outcome it is important to select the proper subset of confounding variables to include in the model. Including too many covariates increases mean square error on the effect of interest while not including confounding variables biases the exposure effect estimate. We propose a decision-theoretic approach to confounder selection and effect estimation. We first estimate the full standard Bayesian regression model and then post-process the posterior distribution with a loss function that penalizes models omitting important confounders. Our method can be fit easily with existing software and in many situations without the use of Markov chain Monte Carlo methods, resulting in computation on the order of the least squares solution. We prove that the proposed estimator has attractive asymptotic properties. In a simulation study we show that our method outperforms existing methods. We demonstrate our method by estimating the effect of fine particulate matter (PM2.5) exposure on birth weight in Mecklenburg County, North Carolina."
"345","Confounding Variables in Epidemiologic Studies: Basics and Beyond",NA,NA,NA,NA,NA,2012,"Web of Science","This article discusses the importance, definition, and types of confounders in epidemiology. Methods to identify and address confounding are discussed, as well as their strengths and limitations. The article also describes the difference among confounders, mediators, and effect modifiers."
"346","Consequences of family events: Three papers on family change and subsequent outcomes",2012,"Google Scholar","… Inverse Probability Weighting The estimation of the propensity score is the first step in … However, the combination of missing data andrelatively small sample size does reduce my …",NA,NA,NA,NA,NA
"347","Consistent High-Dimensional Bayesian Variable Selection via Penalized Credible Regions",NA,NA,NA,NA,NA,2012,"Web of Science","For high-dimensional data, particularly when the number of predictors greatly exceeds the sample size, selection of relevant predictors for regression is a challenging problem. Methods such as sure screening, forward selection, or penalized regressions are commonly used. Bayesian variable selection methods place prior distributions on the parameters along with a prior over model space, or equivalently, a mixture prior on the parameters having mass at zero. Since exhaustive enumeration is not feasible, posterior model probabilities are often obtained via long Markov chain Monte Carlo (MCMC) runs. The chosen model can depend heavily on various choices for priors and also posterior thresholds. Alternatively, we propose a conjugate prior only on the full model parameters and use sparse solutions within posterior credible regions to perform selection. These posterior credible regions often have closed-form representations, and it is shown that these sparse solutions can be computed via existing algorithms. The approach is shown to outperform common methods in the high-dimensional setting, particularly under correlation. By searching for a sparse solution within a joint credible region, consistent model selection is established. Furthermore, it is shown that, under certain conditions, the use of marginal credible intervals can give consistent selection up to the case where the dimension grows exponentially in the sample size. The proposed approach successfully accomplishes variable selection in the high-dimensional setting, while avoiding pitfalls that plague typical Bayesian variable selection methods."
"348","Constructing Confidence Intervals for Infinite-Dimensional Functional Parameters by Highly Adaptive Lasso",2025,"Google Scholar","… strategies, and confidence-interval constructions. The results … in most scenarios with a small sample size. As the sample size … The true propensity score g0 is defined as g0 = [1 + FBeta(…",NA,NA,NA,NA,NA
"349","Contamination: How much can an individually randomized trial tolerate?",NA,NA,NA,NA,NA,2021,"Web of Science","Cluster randomization results in an increase in sample size compared to individual randomization, referred to as an efficiency loss. This efficiency loss is typically presented under an assumption of no contamination in the individually randomized trial. An alternative comparator is the sample size needed under individual randomization to detect the attenuated treatment effect due to contamination. A general framework is provided for determining the extent of contamination that can be tolerated in an individually randomized trial before a cluster randomized design yields a larger sample size. Results are presented for a variety of cluster trial designs including parallel arm, stepped-wedge and cluster crossover trials. Results reinforce what is expected: individually randomized trials can tolerate a surprisingly large amount of contamination before they become less efficient than cluster designs. We determine the point at which the contamination means an individual randomized design to detect an attenuated effect requires a larger sample size than cluster randomization under a nonattenuated effect. This critical rate is a simple function of the design effect for clustering and the design effect for multiple periods as well as design effects for stratification or repeated measures under individual randomization. These findings are important for pragmatic comparisons between a novel treatment and usual care as any bias due to contamination will only attenuate the true treatment effect. This is a bias that operates in a predictable direction. Yet, cluster randomized designs with post-randomization recruitment without blinding, are at high risk of bias due to the differential recruitment across treatment arms. This sort of bias operates in an unpredictable direction. Thus, with knowledge that cluster randomized trials are generally at a greater risk of biases that can operate in a nonpredictable direction, results presented here suggest that even in situations where there is a risk of contamination, individual randomization might still be the design of choice."
"350","Controlling confounding in nutrition research: Methodological strategies, software implementation, and reporting guidelines",2026,"Google Scholar","… Small sample size, violations of randomized controlled trial … The optimal caliper width in propensity score matching … and their precision (eg, 95% confidence interval). Make clear which …",NA,NA,NA,NA,NA
"351","Controlling for confounding via propensity score methods can result in biased estimation of the conditional AUC: A simulation study",NA,NA,NA,NA,NA,2019,"Web of Science","In the medical literature, there has been an increased interest in evaluating association between exposure and outcomes using nonrandomized observational studies. However, because assignments to exposure are not random in observational studies, comparisons of outcomes between exposed and nonexposed subjects must account for the effect of confounders. Propensity score methods have been widely used to control for confounding, when estimating exposure effect. Previous studies have shown that conditioning on the propensity score results in biased estimation of conditional odds ratio and hazard ratio. However, research is lacking on the performance of propensity score methods for covariate adjustment when estimating the area under the ROC curve (AUC). In this paper, AUC is proposed as measure of effect when outcomes are continuous. The AUC is interpreted as the probability that a randomly selected nonexposed subject has a better response than a randomly selected exposed subject. A series of simulations has been conducted to examine the performance of propensity score methods when association between exposure and outcomes is quantified by AUC; this includes determining the optimal choice of variables for the propensity score models. Additionally, the propensity score approach is compared with that of the conventional regression approach to adjust for covariates with the AUC. The choice of the best estimator depends on bias, relative bias, and root mean squared error. Finally, an example looking at the relationship of depression/anxiety and pain intensity in people with sickle cell disease is used to illustrate the estimation of the adjusted AUC using the proposed approaches."
"352","Controlling for continuous confounding factors: non- and semiparametric approaches",NA,NA,NA,NA,NA,2005,"Web of Science","Confounding is one of the major types of bias encountered in observational epidemiologic surveys designed to study the relation between an exposure factor and a health event. A common way to remove confounding bias during the statistical analysis phase is to adjust for the confounders in a regression model. If a confounding factor is assessed as a continuous variable, it is necessary to define how the variable is entered into the regression model. In the case of logistic regression, we illustrate through simulation that coding by a binary variable or a categorical variable with broad categories may lead to substantial residual confounding. Specific approaches can be used to define a coding method that limits residual confounding. Among these, we briefly present nonparametric approaches and describe in detail several semiparametric approaches (generalised partial linear models, spline regression and fractional polynomials). These can be used to estimate the relation between a continuous factor and the health event of interest by a smooth non pre-specified function. In semiparametric models, the effect of certain covariates is coded by a parametric function, whereas the coding of one or two continuous variables is represented by a nonparametric function. These models can be used in exploratory analyses to describe dose-effect relations between the confounder and the health event, and thus help to define a relevant coding for the confounder."
"353","Controlling for Large Sets of Measured Confounders in Mediation Analysis: Comparison of Bayesian Model Averaging, the LASSO, and Path Analysis",NA,NA,NA,NA,NA,2026,"Web of Science","Mediation analysis identifies intermediate variables that transmit the effect from an independent (explanatory) variable to the outcome (response) variable. Ignoring relevant confounders can lead to biased estimates of effect in causal mediation analysis. However, including many confounders in the model may increase the variance of estimators. This paper compares the bias, efficiency, power, Type I error rates, and coverage for causal effects in the single mediator model using path analysis, the LASSO, and Bayesian Model Averaging (BMA). Results show that path analysis yielded unbiased estimates with adequate coverage and Type I error rates, and that BMA and the LASSO yielded higher power than path analysis but encountered instances of excessive bias and Type I error rate when confounder effects on the variables are small. An example from the PROsetta Stone project demonstrates the application of all methods."
"354","Controlling for Unobserved Confounding with Large Language Model Classification of Patient Smoking Status",2024,"Google Scholar","… The 95% confidence interval from this bootstrap alone is … due to random variability within the small sample size. Across both … We leave for future work simulation studies and theoretical …",NA,NA,NA,NA,NA
"355","Controlling test size while gaining the benefits of an internal pilot design",NA,NA,NA,NA,NA,2001,"Web of Science","To compensate for a power analysis based on a poor estimate of variance, internal pilot designs use some fraction of the planned observations to reestimate error variance and modify the final sample size. Ignoring the randomness of the final sample size may bias the final variance estimate and inflate test size. We propose and evaluate three different tests that control test size for an internal pilot in a general linear univariate model with fixed predictors and Gaussian errors. Test 1 uses the first sample plus those observations guaranteed to be collected in the second sample for the final variance estimate. Test 2 depends mostly on the second sample for the final variance estimate. Test 3 uses the unadjusted variance estimate and modifies the critical value to bound test size. We also examine three sample-size modification rules. Only test 2 can control conditional test sire. align with a modification rule, and provide simple power calculations. We recommend it if the minimum second (incremental) sample is at least moderate (perhaps 20). Otherwise, the bounding test appears to have the highest power in small samples. Reanalyzing published data highlights some advantages and disadvantages of the various tests."
"356","Conversion of adjustable gastric banding to stapling bariatric procedures: single-or two-stage approach",2021,"Google Scholar","… by single institution design and small sample size. In contrast, … are reported as risk difference [RD; 95% confidence interval (… We used propensity score matching analysis to reduce the …",NA,NA,NA,NA,NA
"357","Coronary atherosclerosis burden is not advanced in patients with β-thalassemia despite premature extracardiac atherosclerosis: a coronary artery calcium score and carotid intima-media thickness study",NA,NA,NA,NA,NA,2016,"Web of Science","Background Thalassemic patients demonstrate an increased rate of extracardiac vascular complications and increased carotid wall intima-media thickness (cIMT), but very low prevalence of coronary artery disease (CAD). We investigated the atheroma burden by assessing the coronary artery calcium (CAC) and cIMT in these patients. Methods We examined 37 patients with beta-thalassemia and 150 healthy control volunteers with multi-detector computer tomography (CT) and ultrasonography to determine CAC score and cIMT, respectively. Results Propensity score matching (C-statistic: 0.88; 95% CI: 0.83-0.93) resulted in 27 pairs of patients; severe CAC was observed in 2 (7.4%) and 0 of beta-thalassemia patients and healthy volunteers respectively (P = 0.5). Median calcium score was 0 (0-0) in beta-thalassemia patients and 0 (0-4) in healthy volunteers (P = 0.8). Median intima-media thickness was higher in beta-thalassemia patients compared to control group [0.45 (0.06-0.65) vs. 0.062 (0.054-0.086); P = 0.04]. Conclusions Patients with beta-thalassemia in comparison with healthy control subjects exhibit similar CAC score and increased cIMT. Our findings indicate a disparate rate of progression of atherosclerosis between coronary and extracardiac arteries in these patients lending support to the epidemiological evidence."
"358","Correcting for bias due to mismeasured exposure history in longitudinal studies with continuous outcomes",NA,NA,NA,NA,NA,2023,"Web of Science","Epidemiologists are often interested in estimating the effect of functions of time-varying exposure histories in relation to continuous outcomes, for example, cognitive function. However, the individual exposure measurements that constitute the history upon which an exposure history function is constructed are usually mismeasured. To obtain unbiased estimates of the effects for mismeasured functions in longitudinal studies, a method incorporating main and validation studies was developed. Simulation studies under several realistic assumptions were conducted to assess its performance compared to standard analysis, and we found that the proposed method has good performance in terms of finite sample bias reduction and nominal confidence interval coverage. We applied it to a study of long-term exposure to PM2.5, in relation to cognitive decline in the Nurses' Health Study Previously, it was found that the 2-year decline in the standard measure of cognition was 0.018 (95% CI, -0.034 to -0.001) units worse per 10 mu g/m(3) increase in PM2.5 exposure. After correction, the estimated impact of PM2.5 on cognitive decline increased to 0.027 (95% CI, -0.059 to 0.005) units lower per 10 mu g/m(3) increase. To put this into perspective, effects of this magnitude are about 2/3 of those found in our data associated with each additional year of aging: 0.044 (95% CI, -0.047 to -0.040) units per 1 year older after applying our correction method."
"359","Correcting for dependent censoring in routine outcome monitoring data by applying the inverse probability censoring weighted estimator",NA,NA,NA,2018,"PubMed",NA,NA,NA
"360","Correcting Performance Metrics Bias During Generalization from Biased Samples to Populations",NA,NA,NA,2025,"PubMed",NA,NA,NA
"361","Correcting verification bias in the assessment of the accuracy of diagnostic tests",2008,"Google Scholar","… correcting verification bias based on the propensity score, defined … bias based on U-statistics and inverse probability weighting. … the coverage probabilities and 95% confidence interval …",NA,NA,NA,NA,NA
